เนเธเธ•เน,เธเธทเนเธญเธญเธธเธเธเธฃเธ“เน,เธเธณเธฅเธฑเธเธเธฒเธฃเธเธฅเธดเธ• (kW),เธฃเธงเธกเธเธฒเธฃเธเธฅเธดเธ• (kWh),เธงเธฑเธเธ—เธตเน 1,เธงเธฑเธเธ—เธตเน 2,เธงเธฑเธเธ—เธตเน 3,เธงเธฑเธเธ—เธตเน 4,เธงเธฑเธเธ—เธตเน 5,เธงเธฑเธเธ—เธตเน 6,เธงเธฑเธเธ—เธตเน 7,เธงเธฑเธเธ—เธตเน 8,เธงเธฑเธเธ—เธตเน 9,เธงเธฑเธเธ—เธตเน 10,เธงเธฑเธเธ—เธตเน 11,เธงเธฑเธเธ—เธตเน 12,เธงเธฑเธเธ—เธตเน 13,เธงเธฑเธเธ—เธตเน 14,เธงเธฑเธเธ—เธตเน 15,เธงเธฑเธเธ—เธตเน 16,เธงเธฑเธเธ—เธตเน 17,เธงเธฑเธเธ—เธตเน 18,เธงเธฑเธเธ—เธตเน 19,เธงเธฑเธเธ—เธตเน 20,เธงเธฑเธเธ—เธตเน 21,เธงเธฑเธเธ—เธตเน 22,เธงเธฑเธเธ—เธตเน 23,เธงเธฑเธเธ—เธตเน 24,เธงเธฑเธเธ—เธตเน 25,เธงเธฑเธเธ—เธตเน 26,เธงเธฑเธเธ—เธตเน 27,เธงเธฑเธเธ—เธตเน 28,เธงเธฑเธเธ—เธตเน 29,เธงเธฑเธเธ—เธตเน 30,เธงเธฑเธเธ—เธตเน 31
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-2",,11839.12,567.50,627.20,292.31,243.30,247.63,466.30,484.80,570.31,486.43,521.47,463.19,414.47,440.90,543.42,539.06,432.64,405.17,513.15,555.82,610.74,584.55,516.59,438.12,535.50,142.89,116.38,79.28,,,,
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-5",,10265.16,470.04,525.96,250.86,209.26,238.98,399.75,419.11,493.29,417.17,451.78,408.36,356.17,377.72,469.83,463.55,373.20,347.13,448.54,491.89,525.93,502.01,446.93,379.54,463.78,141.98,115.04,77.36,,,,
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-1",,13265.13,563.79,665.27,336.42,278.10,256.13,532.98,549.34,649.41,563.85,595.31,518.13,473.24,509.08,621.11,618.95,493.70,465.74,577.93,608.69,690.83,669.30,587.11,494.88,604.15,143.97,117.60,80.12,,,,
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-6",,10632.80,463.30,545.04,273.19,228.92,244.71,448.21,456.66,534.36,454.76,489.00,438.77,0.00,386.55,508.87,506.57,406.74,382.15,482.12,526.46,572.83,546.44,483.56,410.46,506.44,142.66,115.81,78.22,,,,
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-12",,13359.19,566.12,669.57,341.03,279.39,254.15,529.62,557.59,648.33,570.34,598.96,523.93,479.16,517.49,621.48,625.65,499.06,468.50,577.84,613.72,696.23,678.23,585.79,501.81,611.79,144.18,117.93,81.30,,,,
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-8",,13350.30,566.14,667.61,341.67,280.46,255.07,533.12,554.92,649.15,569.37,599.22,524.32,479.62,518.68,619.76,623.21,499.98,468.79,577.51,612.23,693.60,674.13,584.88,503.81,609.88,144.32,117.88,80.97,,,,
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-7",,13216.73,560.69,660.14,336.66,275.00,251.81,525.26,554.35,639.14,560.53,591.73,519.45,473.16,512.15,617.28,621.23,497.86,464.12,569.83,602.88,684.43,668.88,580.86,499.32,608.07,143.74,117.48,80.68,,,,
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-11",,13559.37,577.77,679.69,343.94,284.38,255.70,543.75,565.57,663.19,576.81,610.24,532.02,485.95,524.81,632.80,635.27,506.11,477.95,589.96,614.24,702.16,684.38,598.20,511.71,620.45,144.11,117.81,80.40,,,,
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-10",,12664.79,537.71,631.34,318.12,265.73,252.90,506.17,524.76,620.89,533.21,566.62,497.12,451.86,484.10,590.84,587.24,469.52,441.93,555.35,586.74,657.41,635.39,560.09,472.03,576.13,144.05,117.72,79.82,,,,
"IJTT-HEAD OFFICE","IJ_100KTL-M2-COM1-9",,13300.85,565.25,663.24,341.26,279.89,254.70,531.60,552.82,644.58,567.40,596.54,521.96,478.72,515.82,616.55,620.65,498.15,468.45,576.58,611.42,691.69,671.15,583.33,500.21,606.57,144.04,117.50,80.78,,,,
"NR-FRAM","NR-Farm60KTL-NO-01",,3768.36,117.94,131.80,132.38,115.72,73.58,82.65,135.69,122.59,156.45,138.18,139.26,138.70,158.35,133.84,176.68,171.81,147.98,187.06,163.04,195.38,142.98,89.77,172.08,159.75,161.19,137.63,85.88,,,,
"NR-FRAM","NR-Farm60KTL-NO-02",,3807.39,118.99,132.82,134.13,117.11,74.03,82.96,136.50,123.78,157.32,139.64,140.44,139.72,160.06,135.39,178.40,172.81,149.09,188.90,164.97,196.98,145.75,91.87,174.20,161.69,163.93,139.54,86.37,,,,
"Rc farm 1","RC_F_1_100KTL P1",,8917.34,359.43,328.34,233.01,132.60,394.79,400.29,294.22,452.27,458.48,477.50,416.95,56.59,255.76,209.82,111.67,362.92,419.74,479.83,430.72,478.45,559.64,523.46,0.93,284.61,366.78,249.89,178.65,,,,
"Rc farm 1","RC_F_1_100KTL P2",,8991.65,349.49,313.47,225.90,126.52,375.27,381.29,283.90,433.15,433.44,450.57,399.72,100.34,243.76,199.60,226.95,346.88,400.78,461.04,406.14,461.91,531.76,493.55,311.09,271.65,353.50,237.81,172.17,,,,
"KU-THONG","KT_100KTL_NO_03",,5250.62,191.15,249.55,144.54,117.28,139.31,159.42,131.57,123.94,192.31,185.12,143.76,143.45,222.96,185.45,222.70,219.30,216.29,293.23,272.87,275.95,237.81,155.38,224.53,223.69,233.22,196.61,149.23,,,,
"KU-THONG","KT_100KTL_NO_01",,7043.06,252.77,339.50,201.36,157.32,198.64,222.46,174.16,174.00,266.58,259.35,200.11,182.96,304.27,255.15,296.26,295.11,295.70,372.79,356.07,354.72,317.24,211.77,288.20,302.78,305.58,256.52,201.69,,,,
"KU-THONG","KT_60KTL_NO_04",,4745.43,171.56,227.29,130.39,101.38,127.80,144.26,115.75,112.95,173.56,172.65,130.53,128.35,205.07,168.79,201.60,198.76,196.61,262.68,243.60,248.94,217.95,141.51,197.65,204.95,213.20,171.14,136.51,,,,
"KU-THONG","KT_100KTL_NO_02",,7652.14,279.25,367.27,217.26,169.52,213.34,238.81,190.30,188.01,285.89,281.66,213.08,207.28,324.18,273.31,324.14,318.21,316.27,413.18,384.50,388.55,350.95,232.07,312.21,326.88,341.28,276.58,218.16,,,,
"Thanachok Palm ","TCP-Inverter(COM2-2)",,4785.38,,,,,,,0.00,0.05,0.00,0.00,2.15,0.00,0.00,18.06,10.17,35.38,81.19,971.28,883.30,131.98,538.00,351.51,100.83,94.56,356.89,831.88,378.15,,,,
"Thanachok Palm ","TCP-Inverter(COM2-1)",,6018.46,,,,,,,0.00,2.18,0.24,0.00,0.00,187.56,0.00,39.19,120.67,81.90,81.65,1012.26,931.88,106.76,485.85,401.93,398.43,204.23,798.29,827.06,338.38,,,,
"Siam Cans Industry ","SCI Inverter 2",,12748.08,378.75,519.27,295.96,236.84,286.77,586.56,430.01,704.60,550.74,643.75,532.12,330.55,501.22,552.38,580.61,434.23,469.69,689.07,304.32,588.65,588.57,625.29,429.89,619.64,642.56,209.29,16.75,,,,
"Siam Cans Industry ","SCI Inverter 1",,2975.14,89.02,120.05,70.03,57.71,60.71,139.81,103.72,166.16,134.90,149.51,123.83,75.72,121.06,128.51,137.94,104.66,114.53,159.42,67.81,130.10,132.77,145.47,104.49,143.49,146.20,44.14,3.38,,,,
"Siam Cans Industry ","SCI Inverter 3",,7968.03,235.31,326.53,182.67,145.10,186.87,364.85,265.92,439.98,335.71,401.90,332.93,207.65,308.33,345.77,360.94,267.24,290.95,432.80,195.87,373.13,372.14,389.63,266.39,385.73,406.34,136.33,11.02,,,,
"Chawalit Rice 316.80kWp.","CWInverter(COM1-13)",,7271.42,269.15,161.25,204.89,357.52,263.55,154.39,177.43,165.25,190.45,143.25,296.23,536.69,264.18,150.41,166.95,172.59,299.91,671.14,679.00,167.23,168.90,177.05,209.95,183.16,461.09,512.48,67.33,,,,
"Chawalit Rice 316.80kWp.","CWInverter(COM1-12)",,9718.48,393.29,240.90,306.55,426.15,358.63,220.70,254.23,247.78,280.45,212.72,350.99,648.26,361.25,219.79,250.43,258.52,431.07,814.11,816.90,250.92,250.80,262.93,306.89,271.59,566.56,615.09,100.98,,,,
"PTT E5","PTT_E5_60KTL-NO-1",,6002.19,207.97,257.19,190.15,162.55,162.45,228.64,131.74,137.14,238.77,198.87,142.49,240.17,233.25,214.96,266.64,263.84,255.79,297.99,274.62,284.54,238.20,254.63,260.65,248.33,218.34,207.72,184.56,,,,
"TTP SolarRooftop","Inverter 150kW 04",,6953.28,,,,,,,,,,,,,,,99.83,615.27,708.12,993.35,0.00,1098.37,833.03,718.99,600.94,665.60,604.19,15.59,0.00,,,,
"TTP SolarRooftop","Inverter 150kW 03",,6975.81,,,,,,,,,,,,,,,106.37,614.38,712.64,999.90,0.00,1104.09,831.44,720.81,602.06,664.84,604.34,14.94,0.00,,,,
"TTP SolarRooftop","Inverter 150kW 02",,6862.60,,,,,,,,,,,,,,,105.06,606.47,712.52,989.25,0.00,1079.11,792.75,716.99,596.01,652.41,598.32,13.71,0.00,,,,
"TTP SolarRooftop","Inverter 150kW 01",,6502.53,,,,,,,,,,,,,,,108.16,568.93,683.72,936.21,0.00,1000.30,746.62,696.22,565.18,607.54,578.21,11.44,0.00,,,,
"TTP SolarRooftop","Inverter 150kW 05",,7322.75,,,,,,,,,,,,,,,94.26,552.21,640.55,885.54,0.00,973.94,741.13,652.34,537.61,626.46,580.60,661.95,376.16,,,,
"TTP SolarRooftop","Inverter 50kW 06",,1012.90,,,,,,,,,,,,,,,,,,,,,13.06,245.09,201.83,213.05,182.90,31.43,125.54,,,,
"โรงสีศรีสกลเพียวไรซ์","โรงสี_1",,7401.31,362.99,399.93,219.12,218.33,161.39,189.83,291.70,229.19,312.27,314.28,207.58,192.78,217.21,320.80,304.06,337.61,270.64,412.86,388.35,367.60,290.13,172.62,269.85,312.66,250.65,269.58,117.30,,,,
"โรงสีศรีสกลเพียวไรซ์","โรงสี_4",,9182.58,415.14,438.82,242.01,253.27,187.03,224.72,344.78,269.55,372.61,383.06,251.40,234.51,240.79,367.08,377.02,427.34,349.09,534.38,510.71,498.39,388.92,232.20,345.32,410.19,352.70,374.89,156.66,,,,
"โรงสีศรีสกลเพียวไรซ์","โรงสี_2",,7741.74,363.96,329.11,213.36,212.45,154.27,185.25,303.67,233.12,303.26,328.24,202.15,232.31,227.92,370.99,292.68,385.63,309.04,401.76,414.78,388.88,289.65,201.15,294.65,334.23,312.20,327.56,129.47,,,,
"โรงสีศรีสกลเพียวไรซ์","โรงสี_3",,8427.03,382.76,394.99,226.35,231.06,170.01,202.25,319.43,247.90,337.56,349.62,225.55,222.98,231.49,359.29,334.41,395.42,320.96,474.04,461.08,447.06,345.50,214.09,324.06,377.33,332.53,352.70,146.61,,,,
"TS. industry","TS._50KTL_NO_04",,4517.57,218.17,236.30,207.32,140.00,6.48,190.54,191.71,214.10,182.21,195.29,202.77,6.63,191.55,237.42,213.06,161.44,174.70,257.48,12.27,273.89,206.79,175.32,156.98,229.53,219.64,14.94,1.04,,,,
"TS. industry","TS._50KTL_NO_01",,4668.25,226.50,250.11,213.22,142.56,6.36,200.65,189.77,231.84,185.95,200.61,208.29,6.65,191.95,248.67,216.27,161.86,181.14,276.17,10.17,290.66,218.67,179.36,158.90,235.55,222.27,13.06,1.04,,,,
"TS. industry","TS._50KTL_NO_02",,4688.07,228.05,251.37,214.53,143.18,6.24,201.80,191.44,232.42,186.77,201.71,209.22,6.58,193.24,249.56,217.92,162.71,182.45,273.42,10.54,291.20,219.41,180.69,160.12,236.14,222.98,13.34,1.04,,,,
"TS. industry","TS._50KTL_NO_05",,4524.00,218.70,238.85,206.37,139.17,6.44,191.55,190.59,217.41,181.62,195.24,200.44,6.80,190.51,237.32,212.69,160.88,174.84,259.47,12.15,277.59,208.50,177.57,156.39,229.12,217.97,14.78,1.04,,,,
"TS. industry","TS._50KTL_NO_03",,4498.60,218.94,240.06,205.58,138.13,6.15,197.51,181.89,224.22,178.71,191.51,200.24,6.42,183.89,242.84,207.28,156.09,175.55,265.81,8.88,281.93,211.08,174.56,152.28,224.65,211.75,11.92,0.73,,,,
"TS. industry","TS._50KTL_NO_07",,2566.59,113.74,118.99,115.72,81.58,4.66,91.86,128.91,116.42,107.66,115.77,111.85,4.62,116.99,132.37,131.42,100.70,97.56,136.85,8.61,137.53,107.73,101.26,93.86,135.99,142.61,10.61,0.72,,,,
"TS. industry","TS._50KTL_NO_06",,4157.41,197.23,215.46,188.82,129.73,6.04,177.61,178.92,200.90,168.74,180.54,184.48,6.35,176.87,221.79,197.54,148.97,162.11,237.39,10.45,251.42,190.48,157.25,144.35,207.22,202.83,13.20,0.72,,,,
"TEM Building B","TEM2Inverter1",,10185.08,347.84,459.87,198.02,238.87,153.96,372.71,375.03,360.48,303.60,453.72,222.30,176.40,346.06,261.23,209.32,320.95,369.19,485.98,406.19,600.14,617.66,552.19,434.11,574.21,641.89,370.90,332.26,,,,
"TEM Building B","TEM2Inverter2",,4350.86,144.02,197.90,84.97,96.59,75.87,157.24,162.25,162.00,133.44,192.23,105.63,79.81,150.69,119.77,99.21,144.96,157.96,207.79,189.71,239.97,250.58,216.17,176.56,227.70,260.31,175.82,141.71,,,,
"TOYOTA LOEI ","TO(LOEI_100KTL_NO_02",,6348.83,311.77,294.10,357.95,269.31,14.58,263.01,321.93,231.85,201.37,202.74,208.88,22.80,302.67,323.70,327.71,253.10,217.58,362.00,14.05,284.90,170.65,224.87,348.94,326.06,261.12,14.12,217.07,,,,
"TOYOTA LOEI ","TO(LOEI_100KTL_NO_01",,6969.76,343.71,322.64,393.56,297.91,14.51,288.84,353.64,253.46,222.40,223.52,232.84,22.71,333.31,352.33,360.63,278.34,241.16,397.83,13.81,315.89,187.42,246.57,380.52,357.69,283.69,14.05,236.78,,,,
"Forest Water 637.2kWp","FWInverter1(COM1-3)",,9012.94,334.65,397.22,86.86,308.11,297.71,269.07,257.42,227.36,419.03,390.65,372.14,409.13,101.28,403.71,502.67,388.05,379.00,574.22,25.03,44.32,334.34,397.00,585.76,580.00,231.50,374.59,322.12,,,,
"Forest Water 637.2kWp","FWInverter2(COM1-2)",,9156.02,344.64,398.72,85.46,282.94,311.34,271.15,347.40,307.91,424.09,380.47,360.42,393.61,101.28,393.32,473.82,381.10,428.70,575.21,24.82,44.37,334.56,385.85,582.13,581.16,227.86,390.10,323.59,,,,
"Forest Water 637.2kWp","FWInverter3(COM1-1)",,8559.16,308.86,376.39,86.11,301.93,279.32,252.08,317.20,278.10,421.26,354.71,320.32,341.36,100.90,367.72,467.54,412.58,353.96,527.94,23.88,44.28,317.37,358.12,460.16,532.25,239.54,417.09,298.19,,,,
"Forest Water 637.2kWp","FWInverter4(COM1-4)",,9538.87,360.06,416.55,88.48,356.37,324.65,270.98,356.71,226.57,343.92,368.53,380.84,434.33,101.64,419.67,519.26,452.47,453.54,606.69,21.78,43.78,297.77,411.09,608.37,587.10,284.36,481.73,321.63,,,,
"Forest Water 637.2kWp","FWInverter5(COM1-5)",,9617.55,360.51,419.44,88.43,355.42,324.38,271.39,365.40,258.35,374.08,374.44,379.52,433.40,101.79,418.77,517.71,451.76,451.22,606.30,22.67,44.19,306.08,411.71,605.60,587.70,284.07,481.55,321.67,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 12",,3111.32,130.35,103.45,104.66,65.02,105.78,123.46,119.64,130.52,120.57,105.49,109.95,103.61,113.17,111.24,122.83,102.88,106.32,137.87,146.77,145.46,118.62,112.36,114.30,132.26,124.78,114.34,85.62,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 09",,6065.80,253.46,197.58,201.19,127.24,208.44,241.85,231.55,248.03,236.64,203.99,214.72,198.71,214.93,212.38,236.84,199.74,211.48,275.72,291.52,288.88,232.83,223.57,225.88,263.93,242.54,221.41,160.75,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 10",,5704.42,240.87,185.46,188.39,117.55,196.67,230.00,219.34,233.00,226.48,189.28,204.34,188.39,201.72,202.15,226.29,188.92,197.44,258.03,270.31,267.08,218.60,209.83,210.81,247.09,228.20,208.21,149.97,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 11",,5951.43,250.96,196.90,199.11,125.52,206.34,241.25,227.45,241.84,234.43,198.13,212.95,197.10,212.40,208.97,235.52,196.27,206.49,268.30,279.89,277.28,227.76,218.60,219.99,258.48,234.55,219.18,155.77,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 17",,5650.54,231.86,180.86,183.31,115.64,194.77,225.19,218.65,227.31,223.96,190.36,201.15,184.24,201.68,198.65,220.58,185.58,197.68,256.96,271.07,268.52,221.65,211.47,212.20,249.58,226.23,205.53,145.86,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 13",,6341.56,269.17,208.59,210.66,133.58,226.78,257.83,242.22,248.46,252.96,213.00,226.83,204.75,223.34,215.12,246.73,206.31,225.52,292.21,303.18,298.81,246.63,234.53,237.84,282.77,243.15,236.84,153.75,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 16",,5674.52,235.66,197.26,191.76,125.11,193.47,221.43,221.95,233.13,216.06,199.53,205.27,192.61,213.35,196.89,215.59,189.84,199.88,244.91,263.29,259.30,217.53,203.99,209.42,237.10,224.33,212.73,153.13,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 18",,4919.71,205.70,161.15,163.22,103.81,179.47,204.14,190.66,179.68,198.80,167.69,182.03,160.88,169.96,160.84,191.95,166.07,184.06,228.42,235.09,219.21,194.87,191.80,184.40,217.20,187.10,181.07,110.44,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 14",,6050.98,249.95,199.01,203.26,122.85,191.72,231.75,232.96,268.02,225.61,205.42,212.94,205.52,225.50,225.48,239.68,203.71,199.67,263.74,288.30,285.94,230.33,217.05,218.90,247.85,253.43,219.92,182.47,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 19",,5565.58,231.05,181.81,184.69,115.98,191.74,226.77,214.54,222.96,222.96,181.72,202.51,184.54,196.84,197.20,221.66,186.70,194.11,251.45,258.24,254.41,213.94,210.93,207.55,240.41,223.49,203.12,144.26,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 15",,5807.97,243.93,189.06,192.46,121.37,201.19,232.89,224.10,232.48,232.28,195.58,208.54,190.27,206.59,203.72,226.33,189.67,202.75,264.38,275.96,269.39,226.96,216.50,217.22,255.08,228.37,212.13,148.77,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 21",,5933.95,247.38,199.17,202.55,123.58,188.31,230.87,229.65,263.57,220.86,201.20,207.72,203.42,219.78,222.22,235.40,201.07,194.06,253.14,279.86,277.30,224.12,213.42,211.60,240.03,248.36,214.12,181.19,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 20",,6162.73,261.32,206.19,206.18,128.00,209.56,246.71,238.10,258.00,235.92,208.27,215.62,202.48,220.82,217.52,242.54,202.99,210.82,273.84,294.35,290.75,237.62,225.36,226.05,264.73,245.74,225.37,167.88,,,,
"PVO - DF3 BUILDING 739.8kWp","PVO-DF3-INV 22",,4901.95,207.78,160.37,161.75,102.77,170.94,204.80,191.84,200.77,192.61,159.71,175.27,160.41,169.78,172.88,194.24,164.95,168.70,219.13,229.54,226.09,188.39,185.07,179.37,212.89,197.37,176.95,127.58,,,,
"Nissan KKT","50KTL-M3(COM1-15)",,3929.43,142.23,184.57,120.46,132.71,16.66,148.45,132.43,114.60,177.31,153.75,134.46,13.17,180.93,147.15,198.04,198.84,177.52,243.23,15.65,250.92,190.58,150.05,207.96,190.18,181.52,15.99,110.07,,,,
"Nissan KKT","50KTL-M3(COM1-12)",,3786.09,140.20,175.52,118.61,128.00,16.61,145.96,127.51,113.14,171.10,151.49,132.23,13.15,172.88,144.74,189.23,180.76,170.19,223.43,15.66,237.55,183.57,147.24,202.04,180.70,179.08,15.99,109.51,,,,
"Nissan KKT","50KTL-M3(COM1-13)",,3841.07,141.17,181.88,119.25,129.69,16.64,146.68,130.99,112.75,176.08,151.05,132.15,13.20,174.61,143.72,194.98,194.65,174.24,223.79,15.62,241.37,185.43,147.08,207.98,183.70,178.86,16.07,107.44,,,,
"Nissan KKT","50KTL-M3(COM1-14)",,3826.33,136.45,182.95,117.71,127.48,16.58,142.93,126.28,110.33,171.32,148.20,129.68,13.13,175.82,142.91,191.15,191.63,172.06,234.93,15.55,251.82,185.00,143.83,208.96,189.46,176.11,15.95,108.11,,,,
"Procare","Procare-Inv100-03",,11480.84,352.10,507.12,191.21,196.60,24.47,438.63,461.18,541.18,392.29,498.85,455.15,391.70,423.78,476.97,434.15,423.89,401.50,520.08,569.68,601.82,538.32,529.85,411.69,519.03,538.11,335.56,305.93,,,,
"Procare","Procare-Inv100-06",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Procare","Procare-Inv100-01",,12304.04,374.89,560.90,191.46,196.51,24.18,451.33,485.40,590.92,392.94,552.19,493.31,395.74,440.47,506.14,452.24,454.45,418.29,576.20,632.33,635.30,588.86,566.21,445.02,588.72,618.08,336.75,335.21,,,,
"Procare","Procare-Inv100-05",,4360.18,129.15,197.49,63.06,65.28,18.29,154.44,167.18,210.62,131.95,196.43,174.67,133.72,151.06,173.74,157.55,154.44,139.99,202.49,222.31,223.10,206.85,195.40,159.47,210.10,222.48,174.21,124.71,,,,
"Procare","Procare-Inv100-04",,11678.88,367.84,508.59,194.58,200.20,24.84,441.55,474.46,547.35,397.45,517.28,460.52,399.52,430.90,486.68,427.38,434.15,409.14,533.39,573.00,576.79,544.92,538.45,419.02,574.07,546.26,338.53,312.02,,,,
"Procare","Procare-Inv100-02",,12139.13,369.86,542.83,192.86,198.84,24.49,454.16,482.97,574.08,396.29,538.91,498.11,398.93,440.11,509.16,448.34,455.97,419.98,564.08,616.36,619.22,572.31,557.17,438.16,572.94,593.19,336.63,323.18,,,,
"Procare","Procare-Inv100-07",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Procare","Procare-Inv50-08",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-08",,979.64,186.06,242.14,178.31,167.36,162.82,42.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-02",,1003.40,194.54,245.35,180.54,173.29,166.79,42.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-03",,951.13,198.83,213.45,163.15,176.09,164.80,34.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-11",,729.57,155.32,162.06,120.35,139.13,129.03,23.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-09",,961.97,183.09,236.95,176.12,164.10,159.50,42.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-04",,962.67,200.72,215.10,165.78,178.64,167.09,35.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-12",,920.99,194.60,204.40,153.78,174.77,162.44,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-06",,990.48,191.88,242.30,178.25,171.14,164.65,42.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-13",,927.15,195.70,205.68,155.32,176.02,163.27,31.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-07",,969.88,181.15,241.92,177.24,165.27,161.42,42.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-10",,937.36,187.40,221.26,164.47,167.83,159.05,37.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-05",,698.41,135.68,172.01,125.19,120.10,115.70,29.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Offline KKF(BWC)","FBWC_60KTL-NO-01",,1005.22,195.21,245.80,180.33,173.67,167.15,43.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"วิทยาลัยเทคโนโลยีภาคตะวันออกเฉียงเหนือ","NET Inverter1-1",,16567.07,526.01,561.25,510.64,304.08,446.86,597.72,514.90,485.89,719.98,596.96,360.56,623.83,785.52,698.36,817.28,837.10,703.08,367.92,667.38,1065.04,746.43,641.05,922.77,961.35,328.53,551.11,225.47,,,,
"สินทองไทย รับเบอร์","STTINV(COM1-13)",,2009.35,132.59,203.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.01,0.20,0.00,0.00,0.00,79.80,275.28,106.41,48.19,285.95,175.39,167.56,198.74,225.19,110.59,,,,
